#?#.?##???????#??.#?#?#.?##???????#??.#?#?#.?##???????#??.#?#?#.?##???????#??.#?#?#.?##???????#??.#;3,3,1,2,1,3,3,1,2,1,3,3,1,2,1,3,3,1,2,1,3,3,1,2,1;1048576;97
#?#???.?.#.#??#?#?#???.?.#.#??#?#?#???.?.#.#??#?#?#???.?.#.#??#?#?#???.?.#.#??#;5,1,1,1,2,5,1,1,1,2,5,1,1,1,2,5,1,1,1,2,5,1,1,1,2;1;0
..?????.?#????..?????.?#????..?????.?#????..?????.?#????..?????.?#???;1,1,5,1,1,5,1,1,5,1,1,5,1,1,5;124416;48
??##?.##?????????##?.##?????????##?.##?????????##?.##?????????##?.##??????;2,7,2,7,2,7,2,7,2,7;1;0
.??###?#??#?????.??###?#??#?????.??###?#??#?????.??###?#??#?????.??###?#??#????;5,1,6,5,1,6,5,1,6,5,1,6,5,1,6;16;0
???#?????????#????#?????????#????#?????????#????#?????????#????#?????????#;1,6,4,1,6,4,1,6,4,1,6,4,1,6,4;768;32
?.???#???.??.???#???.??.???#???.??.???#???.??.???#???.;2,2,2,2,2,2,2,2,2,2;4032;0
??#..#???#????#..#???#????#..#???#????#..#???#????#..#???#?;1,1,4,1,1,4,1,1,4,1,1,4,1,1,4;81;0
?.?##?????#?????.?##?????#?????.?##?????#?????.?##?????#?????.?##?????#???;1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1;24576;1
.???#?????##??#.??.???#?????##??#.??.???#?????##??#.??.???#?????##??#.??.???#?????##??#.?;3,8,3,8,3,8,3,8,3,8;32;0
?#.#?.????.??.?#?.???#.#?.????.??.?#?.???#.#?.????.??.?#?.???#.#?.????.??.?#?.???#.#?.????.??.?#?.?;1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1;16384;357
????.??.#.?#?#??????.??.#.?#?#??????.??.#.?#?#??????.??.#.?#?#??????.??.#.?#?#?;1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4;1563852;452
??##?#??.#???????##?#??.#???????##?#??.#???????##?#??.#???????##?#??.#????;6,1,4,6,1,4,6,1,4,6,1,4,6,1,4;1;0
?#?.?#????????#?.??#?.?#????????#?.??#?.?#????????#?.??#?.?#????????#?.??#?.?#????????#?.;3,2,4,3,3,2,4,3,3,2,4,3,3,2,4,3,3,2,4,3;16384;22
????#??????.?????#??????.?????#??????.?????#??????.?????#??????.;5,1,5,1,5,1,5,1,5,1;4017975;165
..??????##?#?..??????##?#?..??????##?#?..??????##?#?..??????##?#;2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1;243;0
?.#.????##??.?.??.#.????##??.?.??.#.????##??.?.??.#.????##??.?.??.#.????##??.?.;1,7,1,7,1,7,1,7,1,7;32;0
??.?#?..??#?????.????.?#?..??#?????.????.?#?..??#?????.????.?#?..??#?????.????.?#?..??#?????.?;2,6,2,6,2,6,2,6,2,6;7776;0
???##?.#?.?#?????##?.#?.?#?????##?.#?.?#?????##?.#?.?#?????##?.#?.?#?;3,2,2,3,2,2,3,2,2,3,2,2,3,2,2;1024;0
?#?.???.????#?.???.????#?.???.????#?.???.????#?.???.??;1,2,1,2,1,2,1,2,1,2;68742;3
.???#?.?????.?#?.#.?.???#?.?????.?#?.#.?.???#?.?????.?#?.#.?.???#?.?????.?#?.#.?.???#?.?????.?#?.#.;4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1;2811072;540
???????#?#???..???????????#?#???..???????????#?#???..???????????#?#???..???????????#?#???..???;1,4,1,4,1,4,1,4,1,4;3641712;559
???.?#??##?#?##.#?????.?#??##?#?##.#?????.?#??##?#?##.#?????.?#??##?#?##.#?????.?#??##?#?##.#?;2,10,2,2,10,2,2,10,2,2,10,2,2,10,2;32;0
??#.?????#?????##????#.?????#?????##????#.?????#?????##????#.?????#?????##????#.?????#?????##?;1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7;1277337;450
#???????#?????#??#???????#?????#??#???????#?????#??#???????#?????#??#???????#?????#?;1,1,8,1,1,8,1,1,8,1,1,8,1,1,8;344493;65
????##?#?#??##???#?.?????##?#?#??##???#?.?????##?#?#??##???#?.?????##?#?#??##???#?.?????##?#?#??##???#?.;1,8,6,1,8,6,1,8,6,1,8,6,1,8,6;1875;0
#.???.?????.#???#.???.?????.#???#.???.?????.#???#.???.?????.#???#.???.?????.#??;1,1,2,3,1,1,2,3,1,1,2,3,1,1,2,3,1,1,2,3;759375;85
##?????#??.????#??##?????#??.????#??##?????#??.????#??##?????#??.????#??##?????#??.????#?;2,1,3,6,2,1,3,6,2,1,3,6,2,1,3,6,2,1,3,6;7776;23
#???###?##.??#???###?##.??#???###?##.??#???###?##.??#???###?##.?;1,4,2,1,4,2,1,4,2,1,4,2,1,4,2;1;0
#..??????#???..?#..??????#???..?#..??????#???..?#..??????#???..?#..??????#???..;1,10,1,10,1,10,1,10,1,10;1;0
?????#???.?#?#??#??????#???.?#?#??#??????#???.?#?#??#??????#???.?#?#??#??????#???.?#?#??#;7,7,7,7,7,7,7,7,7,7;1875;0
?????????????.#..??????????????.#..??????????????.#..??????????????.#..??????????????.#..;4,3,1,4,3,1,4,3,1,4,3,1,4,3,1;12907776;1128
..#???????.??..#???????.??..#???????.??..#???????.??..#???????.?;4,3,1,4,3,1,4,3,1,4,3,1,4,3,1;16;0
????#??.?.#????????#??.?.#????????#??.?.#????????#??.?.#????????#??.?.#???;7,3,7,3,7,3,7,3,7,3;16;0
#??#???##??.???#??#???##??.???#??#???##??.???#??#???##??.???#??#???##??.??;4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2;1;0
??#?#?##?.???#??.???#?#?##?.???#??.???#?#?##?.???#??.???#?#?##?.???#??.???#?#?##?.???#??.;6,5,6,5,6,5,6,5,6,5;32;0
???.#??.??###?.#??????.#??.??###?.#??????.#??.??###?.#??????.#??.??###?.#??????.#??.??###?.#??;3,1,5,2,3,1,5,2,3,1,5,2,3,1,5,2,3,1,5,2;512;0
?.????##??#????.????##??#????.????##??#????.????##??#????.????##??#??;6,3,6,3,6,3,6,3,6,3;768;0
?.???#?????.?#?????.???#?????.?#?????.???#?????.?#?????.???#?????.?#?????.???#?????.?#???;1,6,2,1,6,2,1,6,2,1,6,2,1,6,2;20445824;1383
???..?##????.?????..?##????.?????..?##????.?????..?##????.?????..?##????.?;2,3,1,2,3,1,2,3,1,2,3,1,2,3,1;9284399;543
?.?#????.??#?#.???.?#????.??#?#.???.?#????.??#?#.???.?#????.??#?#.???.?#????.??#?#.?;1,2,1,3,1,1,2,1,3,1,1,2,1,3,1,1,2,1,3,1,1,2,1,3,1;5361664;731
?.?###.??????.?###.??????.?###.??????.?###.??????.?###.????;4,2,4,2,4,2,4,2,4,2;1875;0
?#???..??##???#???..??##???#???..??##???#???..??##???#???..??##?;4,3,4,3,4,3,4,3,4,3;2500;0
???#????#?.????#????#?.????#????#?.????#????#?.????#????#?.;1,2,3,1,2,3,1,2,3,1,2,3,1,2,3;60000;6
#???#???#??#???.??#???#???#??#???.??#???#???#??#???.??#???#???#??#???.??#???#???#??#???.?;1,10,1,1,10,1,1,10,1,1,10,1,1,10,1;17082;1
???.#????#?????.#?????.#????#?????.#?????.#????#?????.#?????.#????#?????.#?????.#????#?????.#?;1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1;19683;2076
????????.??###???????????????.??###???????????????.??###???????????????.??###???????????????.??###??????;7,5,2,7,5,2,7,5,2,7,5,2,7,5,2;16623378;3979
????.?.#????????.?.#????????.?.#????????.?.#????????.?.#???;2,1,1,2,1,1,2,1,1,2,1,1,2,1,1;4999512;493
.#?..?#????#???##?.#?..?#????#???##?.#?..?#????#???##?.#?..?#????#???##?.#?..?#????#???##;1,12,1,12,1,12,1,12,1,12;16;0
#???##??.?????????#???##??.?????????#???##??.?????????#???##??.?????????#???##??.????????;1,5,2,1,3,1,5,2,1,3,1,5,2,1,3,1,5,2,1,3,1,5,2,1,3;32;355
???#???#?.#??..?????#???#?.#??..?????#???#?.#??..?????#???#?.#??..?????#???#?.#??..?;7,1,7,1,7,1,7,1,7,1;32;0
?#????.???.?#???#????.???.?#???#????.???.?#???#????.???.?#???#????.???.?#?;6,2,1,6,2,1,6,2,1,6,2,1,6,2,1;512;0
??.#?#?????????.?#???.#?#?????????.?#???.#?#?????????.?#???.#?#?????????.?#???.#?#?????????.?#;1,4,2,2,1,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1;2499250;1010
.#?????????#???.?.#?????????#???.?.#?????????#???.?.#?????????#???.?.#?????????#???.;6,1,3,6,1,3,6,1,3,6,1,3,6,1,3;243;1
?#?#?..?#???#?#?..?#???#?#?..?#???#?#?..?#???#?#?..?#?;1,2,2,1,2,2,1,2,2,1,2,2,1,2,2;32;0
?.?##.???###????.?##.???###????.?##.???###????.?##.???###????.?##.???###??;3,5,3,5,3,5,3,5,3,5;243;0
.?#????#??..???.?#????#??..???.?#????#??..???.?#????#??..???.?#????#??..??;2,5,2,5,2,5,2,5,2,5;243;0
???#.#??.?.????..#??????#.#??.?.????..#??????#.#??.?.????..#??????#.#??.?.????..#??????#.#??.?.????..#??;2,3,4,1,1,2,3,4,1,1,2,3,4,1,1,2,3,4,1,1,2,3,4,1,1;81;0
???###????????#?#?#?????###????????#?#?#?????###????????#?#?#?????###????????#?#?#?????###????????#?#?#?;8,2,1,4,8,2,1,4,8,2,1,4,8,2,1,4,8,2,1,4;12672;2
?#?#..??#???.??#?#..??#???.??#?#..??#???.??#?#..??#???.??#?#..??#???.;4,1,3,4,1,3,4,1,3,4,1,3,4,1,3;1;0
.???##?#.????.???##?#.????.???##?#.????.???##?#.????.???##?#.???;1,4,1,1,4,1,1,4,1,1,4,1,1,4,1;155796;8
???#..?????.?????#..?????.?????#..?????.?????#..?????.?????#..?????.?;1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1;162;20
?##?#??????##???##?#??????##???##?#??????##???##?#??????##???##?#??????##?;4,1,5,4,1,5,4,1,5,4,1,5,4,1,5;5606;0
??#.#?###?##?????#????#.#?###?##?????#????#.#?###?##?????#????#.#?###?##?????#????#.#?###?##?????#?;1,1,8,1,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,1;23384;2
.#?#??#.#?.??.#?#??#.#?.??.#?#??#.#?.??.#?#??#.#?.??.#?#??#.#?.?;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1;0
????????#?#?##??#?????????#?#?##??#?????????#?#?##??#?????????#?#?##??#?????????#?#?##??#;5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5;528;0
.??#?.?#?????.???????.??#?.?#?????.???????.??#?.?#?????.???????.??#?.?#?????.???????.??#?.?#?????.??????;3,7,4,3,7,4,3,7,4,3,7,4,3,7,4;24576;2
?#?????#.?#???#?????#.?#???#?????#.?#???#?????#.?#???#?????#.?#?;2,5,2,2,5,2,2,5,2,2,5,2,2,5,2;32;0
????.?#????#?????#??????.?#????#?????#??????.?#????#?????#??????.?#????#?????#??????.?#????#?????#?;1,9,2,1,9,2,1,9,2,1,9,2,1,9,2;2274304;234
?#????#???.??.??..??#????#???.??.??..??#????#???.??.??..??#????#???.??.??..??#????#???.??.??..;7,2,2,7,2,2,7,2,2,7,2,2,7,2,2;3384;1
?#.##???????.?#.???#.##???????.?#.???#.##???????.?#.???#.##???????.?#.???#.##???????.?#.?;2,5,1,2,1,2,5,1,2,1,2,5,1,2,1,2,5,1,2,1,2,5,1,2,1;243;0
?.##?#?.????#?#??.??.##?#?.????#?#??.??.##?#?.????#?#??.??.##?#?.????#?#??.??.##?#?.????#?#??.;2,1,6,2,1,6,2,1,6,2,1,6,2,1,6;243;0
?###??#.#????##.????###??#.#????##.????###??#.#????##.????###??#.#????##.????###??#.#????##.??;5,1,1,1,3,1,5,1,1,1,3,1,5,1,1,1,3,1,5,1,1,1,3,1,5,1,1,1,3,1;162;0
.??#?????#???#?.#?.??#?????#???#?.#?.??#?????#???#?.#?.??#?????#???#?.#?.??#?????#???#?.#;3,1,2,2,1,3,1,2,2,1,3,1,2,2,1,3,1,2,2,1,3,1,2,2,1;2251320;313
?.????.??.#????????.????.??.#????????.????.??.#????????.????.??.#????????.????.??.#??????;1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1;1024;2316
????##?##???????##?##???????##?##???????##?##???????##?##??;6,3,6,3,6,3,6,3,6,3;1;0
.?#???.?.??????.?#???.?.??????.?#???.?.??????.?#???.?.??????.?#???.?.?????;2,1,4,2,1,4,2,1,4,2,1,4,2,1,4;835210;295
???..?.?.?????..?.?.?????..?.?.?????..?.?.?????..?.?.?;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;30510216;5003
?#.?#??#???.##.???#.?#??#???.##.???#.?#??#???.##.???#.?#??#???.##.???#.?#??#???.##.?;1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2;512;0
???#?#.??#???????#?#.??#???????#?#.??#???????#?#.??#???????#?#.??#???;4,1,4,1,4,1,4,1,4,1;1;0
???????.???????????.???????????.???????????.???????????.???;1,3,1,3,1,3,1,3,1,3;75769903;5866
?#..##?##??###??#???#..##?##??###??#???#..##?##??###??#???#..##?##??###??#???#..##?##??###??#?;2,13,2,13,2,13,2,13,2,13;1;0
?????...??..??????...??..??????...??..??????...??..??????...??..;1,1,1,1,1,1,1,1,1,1;68568512;4053
??#????..??#???#????..??#???#????..??#???#????..??#???#????..??#;1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3;1;3
?###.?????#.???#???###.?????#.???#???###.?????#.???#???###.?????#.???#???###.?????#.???#?;4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2;16807;1
???##????.?#.?#???????##????.?#.?#???????##????.?#.?#???????##????.?#.?#???????##????.?#.?#???;1,2,2,2,5,1,2,2,2,5,1,2,2,2,5,1,2,2,2,5,1,2,2,2,5;5184;71
?#.?????.?###?##??.???#.?????.?###?##??.???#.?????.?###?##??.???#.?????.?###?##??.???#.?????.?###?##??.?;2,5,6,1,1,2,5,6,1,1,2,5,6,1,1,2,5,6,1,1,2,5,6,1,1;1;0
.????.??.???????????.????.??.???????????.????.??.???????????.????.??.???????????.????.??.??????????;3,10,3,10,3,10,3,10,3,10;512;4
??.?#?#.#..??????.?#?#.#..??????.?#?#.#..??????.?#?#.#..??????.?#?#.#..???;1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1;60000;4
?.?#?#??.?.??.?#?#??.?.??.?#?#??.?.??.?#?#??.?.??.?#?#??.?.;5,1,5,1,5,1,5,1,5,1;2592;0
???#.?????##???#???????#.?????##???#???????#.?????##???#???????#.?????##???#???????#.?????##???#???;2,13,2,13,2,13,2,13,2,13;512;0
??#?#???..???.??.????#?#???..???.??.????#?#???..???.??.????#?#???..???.??.????#?#???..???.??.?;7,1,1,7,1,1,7,1,1,7,1,1,7,1,1;213945504;8889
??#???#.#???#???#?????#???#.#???#???#?????#???#.#???#???#?????#???#.#???#???#?????#???#.#???#???#??;2,2,11,2,2,11,2,2,11,2,2,11,2,2,11;32;0
?#??????????#??????????#??????????#??????????#????????;4,1,4,1,4,1,4,1,4,1;1386209;63
??????##???##????#???????##???##????#???????##???##????#???????##???##????#???????##???##????#;2,10,1,2,10,1,2,10,1,2,10,1,2,10,1;237697;54
???#????#??????#????#??????#????#??????#????#??????#????#??;3,1,3,1,3,1,3,1,3,1;243;0
##????#.?.??##????#.?.??##????#.?.??##????#.?.??##????#.?.?;3,2,3,2,3,2,3,2,3,2;16;0
.????#???????.????#???????.????#???????.????#???????.????#??????;6,1,6,1,6,1,6,1,6,1;1162810;100
?.??.????#???.??.????#???.??.????#???.??.????#???.??.????#?;1,4,1,4,1,4,1,4,1,4;461120;43
?????????.???????????.???????????.???????????.???????????.?;1,4,1,4,1,4,1,4,1,4;9192680;2123
#?#??#?##????#????#??#?#??#?##????#????#??#?#??#?##????#????#??#?#??#?##????#????#??#?#??#?##????#????#?;14,3,14,3,14,3,14,3,14,3;32;0
#..#????#????#..#????#????#..#????#????#..#????#????#..#????#???;1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1;243;0
.?.##????.???.?.##????.???.?.##????.???.?.##????.???.?.##????.??;1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2;3888;7
???.#??#?#?.??????????.#??#?#?.??????????.#??#?#?.??????????.#??#?#?.??????????.#??#?#?.??????;1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1;5184;328
..?#????.#???##??????..?#????.#???##??????..?#????.#???##??????..?#????.#???##??????..?#????.#???##?????;3,2,7,3,2,7,3,2,7,3,2,7,3,2,7;7589;0
?????.??.???????.??.???????.??.???????.??.???????.??.?;3,1,3,1,3,1,3,1,3,1;1753506;158
.?#??#?#..?#?.?##.???.?#??#?#..?#?.?##.???.?#??#?#..?#?.?##.???.?#??#?#..?#?.?##.???.?#??#?#..?#?.?##.??;2,4,2,3,1,2,4,2,3,1,2,4,2,3,1,2,4,2,3,1,2,4,2,3,1;5184;0
???#?????.#????#?????.#????#?????.#????#?????.#????#?????.#;8,1,8,1,8,1,8,1,8,1;32;0
????..##?.??#??????..##?.??#??????..##?.??#??????..##?.??#??????..##?.??#?;1,2,3,1,2,3,1,2,3,1,2,3,1,2,3;190498;16
.?????.?#??.?????.?#??.?????.?#??.?????.?#??.?????.?#?;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1197476;266
??#?.#?#?#?.###?.???#?.#?#?#?.###?.???#?.#?#?#?.###?.???#?.#?#?#?.###?.???#?.#?#?#?.###?.;1,5,4,1,5,4,1,5,4,1,5,4,1,5,4;1;0
???.#????##.???##?????.#????##.???##?????.#????##.???##?????.#????##.???##?????.#????##.???##?;1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5;60000;8
?????????.#.??????.???????????.#.??????.???????????.#.??????.???????????.#.??????.???????????.#.??????.?;6,2,1,1,3,1,6,2,1,1,3,1,6,2,1,1,3,1,6,2,1,1,3,1,6,2,1,1,3,1;243;6715
?#???##????#??#???##????#??#???##????#??#???##????#??#???##????#;2,6,1,2,6,1,2,6,1,2,6,1,2,6,1;243;0
#?###?#??.#??..#.??#?###?#??.#??..#.??#?###?#??.#??..#.??#?###?#??.#??..#.??#?###?#??.#??..#.?;7,1,3,1,1,7,1,3,1,1,7,1,3,1,1,7,1,3,1,1,7,1,3,1,1;1;0
???.???#???#??????.???#???#??????.???#???#??????.???#???#??????.???#???#??;1,5,1,1,5,1,1,5,1,1,5,1,1,5,1;5004909;603
??????#??????.???#????????#??????.???#????????#??????.???#????????#??????.???#????????#??????.???#?;7,4,7,4,7,4,7,4,7,4;5468750;433
#?????#??.???#.??#?????#??.???#.??#?????#??.???#.??#?????#??.???#.??#?????#??.???#.?;3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1;4485652;440
?.?..??.?##????.???.?..??.?##????.???.?..??.?##????.???.?..??.?##????.???.?..??.?##????.?;1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3;327680;337
?##????.??????##????.??????##????.??????##????.??????##????.????;7,1,1,7,1,1,7,1,1,7,1,1,7,1,1;768;0
?.?##.?#?#????????.?##.?#?#????????.?##.?#?#????????.?##.?#?#????????.?##.?#?#??????;3,3,2,3,3,2,3,3,2,3,3,2,3,3,2;7572;0
?.??.?.?????.??.?.?????.??.?.?????.??.?.?????.??.?.???;2,3,2,3,2,3,2,3,2,3;81;0
?##?..???????##?..???????##?..???????##?..???????##?..?????;3,5,3,5,3,5,3,5,3,5;162;0
??####?..?????####?..?????####?..?????####?..?????####?..??;4,2,4,2,4,2,4,2,4,2;81;0
?????..???.??????????..???.??????????..???.??????????..???.??????????..???.????;4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1;60000;18831
..?#?.?#????..?#?.?#????..?#?.?#????..?#?.?#????..?#?.?#???;1,5,1,5,1,5,1,5,1,5;16;0
.????.??#??.????.??#??.????.??#??.????.??#??.????.??#?;3,3,3,3,3,3,3,3,3,3;5184;1
?##????.?#??????..????##????.?#??????..????##????.?#??????..????##????.?#??????..????##????.?#??????..??;7,3,3,1,7,3,3,1,7,3,3,1,7,3,3,1,7,3,3,1;39366;44
?????##??.?.??...????????##??.?.??...????????##??.?.??...????????##??.?.??...????????##??.?.??...??;9,2,2,9,2,2,9,2,2,9,2,2,9,2,2;1;0
??..#??####??.?.?#????..#??####??.?.?#????..#??####??.?.?#????..#??####??.?.?#????..#??####??.?.?#?;8,2,8,2,8,2,8,2,8,2;32;0
??????##????????????##????????????##????????????##????????????##?????;1,1,6,1,1,6,1,1,6,1,1,6,1,1,6;16130125;1142
??????#??.???#????????#??.???#????????#??.???#????????#??.???#????????#??.???#?;7,5,7,5,7,5,7,5,7,5;3888;0
???#..??.????.????#..??.????.????#..??.????.????#..??.????.????#..??.????.;4,1,2,4,1,2,4,1,2,4,1,2,4,1,2;16807;4
.#?.?###????.#?.?###????.#?.?###????.#?.?###????.#?.?###???;1,4,1,4,1,4,1,4,1,4;32;0
????###?...?#?#??????###?...?#?#??????###?...?#?#??????###?...?#?#??????###?...?#?#?;8,4,8,4,8,4,8,4,8,4;162;0
???????????????????????????????????????????????????????????;5,1,1,5,1,1,5,1,1,5,1,1,5,1,1;3268760;23307
??.#?#.???????.#?#.???????.#?#.???????.#?#.???????.#?#.????;1,3,3,1,3,3,1,3,3,1,3,3,1,3,3;5184;1
.#.###??????.#??.#.###??????.#??.#.###??????.#??.#.###??????.#??.#.###??????.#?;1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1;7203;1
???#??.?.?????????#??.?.?????????#??.?.?????????#??.?.?????????#??.?.?????;1,3,4,1,3,4,1,3,4,1,3,4,1,3,4;60000;498
?#.#????????????#??#.#????????????#??#.#????????????#??#.#????????????#??#.#????????????#;1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1;1;46
.??????###??.??????###??.??????###??.??????###??.??????###?;3,3,3,3,3,3,3,3,3,3;243;0
.#???????#?????.#???????#?????.#???????#?????.#???????#?????.#???????#????;3,1,4,1,3,1,4,1,3,1,4,1,3,1,4,1,3,1,4,1;51284;47
??#??.?#???#...????#??.?#???#...????#??.?#???#...????#??.?#???#...????#??.?#???#...?;3,6,3,6,3,6,3,6,3,6;243;0
